,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,profit,release_year,genres,director,roi_domestic,roi_foreign,roi_worldwide
69,2015-06-19,Inside Out 2015,175000000,356461711,854235992,497774281,679235992,2015,"Adventure,Animation,Comedy","Pete Docter, Ronnie Del Carmen",103.69240628571428,184.44244628571428,388.1348525714286
70,2017-07-07,Spider-Man: Homecoming 2017,175000000,334201140,880166350,545965210,705166350,2017,"Action,Adventure,Sci-Fi",Jon Watts,90.97208,211.98012,402.9522
71,2016-08-05,Suicide Squad 2016,175000000,325100054,746059887,420959833,571059887,2016,"Action,Adventure,Fantasy",David Ayer,85.77145942857143,140.548476,326.31993542857145
72,2017-11-22,Coco 2017,175000000,209726015,798008101,588282086,623008101,2017,"Adventure,Animation,Comedy","Lee Unkrich, Adrian Molina",19.84343714285714,236.161192,356.00462914285714
74,2017-06-16,Cars 3 2017,175000000,152901115,383541369,230640254,208541369,2017,"Adventure,Animation,Comedy",Brian Fee,-12.627934285714284,31.794430857142856,119.16649657142857
75,2017-05-12,King Arthur: Legend of the Sword 2017,175000000,39175066,139630336,100455270,-35369664,2017,"Action,Adventure,Drama",Guy Ritchie,-77.614248,-42.596988571428575,-20.21123657142857
76,2013-12-25,47 Ronin 2013,175000000,38362475,151716815,113354340,-23283185,2013,"Action,Adventure,Drama",Carl Rinsch,-78.07858571428572,-35.22609142857143,-13.304677142857143
77,2018-06-22,Jurassic World: Fallen Kingdom 2018,170000000,417719760,1305772799,888053039,1135772799,2018,"Action,Adventure,Sci-Fi",J.A. Bayona,145.71750588235295,422.38414058823525,668.1016464705882
78,2014-08-01,Guardians of the Galaxy 2014,170000000,333172112,770867516,437695404,600867516,2014,"Action,Adventure,Comedy",James Gunn,95.98359529411765,157.46788470588234,353.45148
80,2014-04-04,Captain America: The Winter Soldier 2014,170000000,259746958,714401889,454654931,544401889,2014,"Action,Adventure,Sci-Fi","Anthony Russo, Joe Russo",52.792328235294114,167.44407705882352,320.2364052941177
81,2014-07-11,Dawn of the Planet of the Apes 2014,170000000,208545589,710644566,502098977,540644566,2014,"Action,Adventure,Drama",Matt Reeves,22.67387588235294,195.35233941176472,318.02621529411766
82,2012-06-01,Snow White and the Huntsman 2012,170000000,155136755,401021746,245884991,231021746,2012,"Action,Adventure,Drama",Rupert Sanders,-8.743085294117648,44.63823,135.89514470588236
83,2019-03-29,Dumbo 2019,170000000,113883318,345004422,231121104,175004422,2019,"Adventure,Family,Fantasy",Tim Burton,-33.00981294117647,35.95359058823529,102.94377764705882
84,2015-05-22,Tomorrowland 2015,170000000,93436322,206627518,113191196,36627518,2015,"Action,Adventure,Family",Brad Bird,-45.03745764705883,-33.41694352941176,21.54559882352941
85,2019-02-14,Alita: Battle Angel 2019,170000000,85710210,402976036,317265826,232976036,2019,"Action,Adventure,Sci-Fi",Robert Rodriguez,-49.58222941176471,86.62695647058824,137.04472705882353
86,2019-05-31,Godzilla: King of the Monsters 2019,170000000,85576941,299276941,213700000,129276941,2019,"Action,Adventure,Fantasy",Michael Dougherty,-49.66062294117647,25.705882352941178,76.0452594117647
87,2016-05-27,Alice Through the Looking Glass 2016,170000000,77042381,276928112,199885731,106928112,2016,"Adventure,Family,Fantasy",James Bobin,-54.68095235294118,17.579841764705883,62.8988894117647
89,2016-11-04,Doctor Strange 2016,165000000,232641920,676404566,443762646,511404566,2016,"Action,Adventure,Fantasy",Scott Derrickson,40.995103030303035,168.9470581818182,309.94216121212116
90,2014-11-07,Big Hero 6 2014,165000000,222527828,652127828,429600000,487127828,2014,"Action,Adventure,Animation","Don Hall, Chris Williams",34.865350303030304,160.36363636363635,295.2289866666667
92,2012-11-02,Wreck-It Ralph 2012,165000000,189412677,496511521,307098844,331511521,2012,"Adventure,Animation,Comedy",Rich Moore,14.795561818181818,86.1205115151515,200.91607333333332
93,2014-11-05,Interstellar 2014,165000000,188017894,666379375,478361481,501379375,2014,"Adventure,Drama,Sci-Fi",Christopher Nolan,13.950238787878789,189.9160490909091,303.8662878787879
94,2016-06-24,Independence Day: Resurgence 2016,165000000,103144286,384169424,281025138,219169424,2016,"Action,Adventure,Sci-Fi",Roland Emmerich,-37.488311515151516,70.31826545454545,132.82995393939393
95,2017-03-17,Beauty and the Beast 2017,160000000,504014165,1259199706,755185541,1099199706,2017,"Family,Fantasy,Musical",Bill Condon,215.00885312500003,371.990963125,686.99981625
96,2018-12-21,Aquaman 2018,160000000,335061807,1146894640,811832833,986894640,2018,"Action,Adventure,Fantasy",James Wan,109.41362937500001,407.395520625,616.80915
98,2015-11-20,The Hunger Games: Mockingjay - Part 2 2015,160000000,281723902,648986787,367262885,488986787,2015,"Action,Adventure,Sci-Fi",Francis Lawrence,76.07743875,129.539303125,305.616741875
99,2014-05-16,Godzilla 2014,160000000,200676069,529076069,328400000,369076069,2014,"Action,Adventure,Sci-Fi",Gareth Edwards,25.422543125,105.25,230.67254312499998
100,2011-06-03,X-Men: First Class 2011,160000000,146408305,355408305,209000000,195408305,2011,"Action,Adventure,Sci-Fi",Matthew Vaughn,-8.494809374999999,30.625000000000004,122.13019062499998
102,2016-06-10,Warcraft 2016,160000000,47225655,425522281,378296626,265522281,2016,"Action,Adventure,Fantasy",Duncan Jones,-70.483965625,136.43539124999998,165.951425625
103,2016-09-30,Deepwater Horizon 2016,156000000,61433527,122603824,61170297,-33396176,2016,"Action,Drama,History",Peter Berg,-60.61953397435897,-60.78827115384615,-21.40780512820513
105,2018-03-23,Pacific Rim: Uprising 2018,155000000,59874525,290930148,231055623,135930148,2018,"Action,Adventure,Sci-Fi",Steven S. DeKnight,-61.37127419354839,49.06814387096774,87.69686967741936
106,2017-07-14,War for the Planet of the Apes 2017,152000000,146880162,489592267,342712105,337592267,2017,"Action,Adventure,Drama",Matt Reeves,-3.3683144736842108,125.46849013157895,222.10017565789474
107,2017-06-02,Wonder Woman 2017,150000000,412563408,821133378,408569970,671133378,2017,"Action,Adventure,Fantasy",Patty Jenkins,175.042272,172.37998000000002,447.42225199999996
108,2013-11-22,Frozen 2013,150000000,400738009,1272469910,871731901,1122469910,2013,"Adventure,Animation,Comedy","Chris Buck, Jennifer Lee",167.15867266666666,481.15460066666674,748.3132733333333
109,2016-03-04,Zootopia 2016,150000000,341268248,1019429616,678161368,869429616,2016,"Adventure,Animation,Comedy","Byron Howard, Rich Moore, Jared Bush",127.51216533333334,352.10757866666665,579.6197440000001
110,2016-11-23,Moana 2016,150000000,248757044,637517365,388760321,487517365,2016,"Adventure,Animation,Comedy","Don Hall, Chris Williams, Ron Clements, John Musker",65.83802933333334,159.17354733333332,325.01157666666666
111,2013-11-08,Thor: The Dark World 2013,150000000,206362140,644602516,438240376,494602516,2013,"Action,Adventure,Fantasy",Alan Taylor,37.574760000000005,192.16025066666666,329.7350106666667
112,2017-07-21,Dunkirk 2017,150000000,190068280,499837368,309769088,349837368,2017,"Action,Drama,History",Christopher Nolan,26.712186666666664,106.51272533333334,233.22491200000002
113,2011-05-06,Thor 2011,150000000,181030624,449326618,268295994,299326618,2011,"Action,Adventure,Fantasy",Kenneth Branagh,20.68708266666667,78.863996,199.55107866666665
114,2011-05-26,Kung Fu Panda 2 2011,150000000,165249063,664837547,499588484,514837547,2011,"Action,Adventure,Animation",Jennifer Yuh Nelson,10.166042000000001,233.05898933333333,343.22503133333333
115,2015-05-15,Mad Max: Fury Road 2015,150000000,153636354,370098020,216461666,220098020,2015,"Action,Adventure,Sci-Fi",George Miller,2.424236,44.307777333333334,146.73201333333336
116,2018-03-29,Ready Player One 2018,150000000,137690172,579290136,441599964,429290136,2018,"Action,Adventure,Sci-Fi",Steven Spielberg,-8.206552,194.399976,286.193424
118,2012-03-30,Wrath of the Titans 2012,150000000,83670083,305270083,221600000,155270083,2012,"Action,Adventure,Fantasy",Jonathan Liebesman,-44.21994466666666,47.733333333333334,103.51338866666666
119,2012-05-11,Dark Shadows 2012,150000000,79727149,238202668,158475519,88202668,2012,"Comedy,Fantasy,Horror",Tim Burton,-46.848567333333335,5.650346,58.80177866666667
120,2013-06-28,White House Down 2013,150000000,73103784,205440387,132336603,55440387,2013,"Action,Drama,Thriller",Roland Emmerich,-51.264144,-11.775598,36.960258
122,2017-02-17,The Great Wall 2017,150000000,45157105,334486852,289329747,184486852,2017,Documentary,Tadhg O'Sullivan,-69.89526333333333,92.88649799999999,122.99123466666666
123,2015-10-09,Pan 2015,150000000,35088320,151525973,116437653,1525973,2015,"Adventure,Comedy,Family",Joe Wright,-76.60778666666667,-22.374897999999998,1.0173153333333333
124,2011-03-11,Mars Needs Moms 2011,150000000,21392758,39549758,18157000,-110450242,2011,"Adventure,Animation,Family",Simon Wells,-85.73816133333332,-87.89533333333334,-73.63349466666666
125,2012-06-08,Madagascar 3: Europe's Most Wanted 2012,145000000,216391482,746921271,530529789,601921271,2012,"Adventure,Animation,Comedy","Tom McGrath, Conrad Vernon, Eric Darnell",49.235504827586205,265.88261310344825,415.1181179310345
126,2014-06-13,How to Train Your Dragon 2 2014,145000000,177002924,614586270,437583346,469586270,2014,"Action,Adventure,Animation",Dean DeBlois,22.070982068965517,201.78161793103448,323.8526
127,2014-03-07,Mr. Peabody & Sherman 2014,145000000,111506430,269806430,158300000,124806430,2014,"Adventure,Animation,Comedy",Rob Minkoff,-23.09901379310345,9.172413793103448,86.0734
128,2012-11-21,Rise of the Guardians 2012,145000000,103412758,306900902,203488144,161900902,2012,"Action,Adventure,Animation",Peter Ramsey,-28.680856551724137,40.336651034482756,111.65579448275862
129,2016-07-15,Ghostbusters 2016,144000000,128350574,229008658,100658084,85008658,2016,"Action,Comedy,Fantasy",Paul Feig,-10.867656944444445,-30.098552777777776,59.033790277777776
130,2011-07-22,Captain America: The First Avenger 2011,140000000,176654505,370569776,193915271,230569776,2011,"Action,Adventure,Sci-Fi",Joe Johnston,26.181789285714284,38.510907857142854,164.69269714285716
131,2016-01-29,Kung Fu Panda 3 2016,140000000,143528619,517599142,374070523,377599142,2016,"Action,Adventure,Animation","Jennifer Yuh Nelson, Alessandro Carloni",2.520442142857143,167.1932307142857,269.71367285714285
132,2013-03-27,G.I. Joe: Retaliation 2013,140000000,122523060,375740705,253217645,235740705,2013,"Action,Adventure,Sci-Fi",Jon M. Chu,-12.483528571428572,80.86974642857143,168.38621785714284
133,2014-12-12,Exodus: Gods and Kings 2014,140000000,65014513,268314513,203300000,128314513,2014,"Action,Adventure,Drama",Ridley Scott,-53.56106214285714,45.214285714285715,91.65322357142857
