,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,profit,genres,director
177,2013-08-09,Elysium 2013,120000000,93050117,286192091,193141974,166192091,"Action,Drama,Sci-Fi",Neill Blomkamp
178,2013-04-19,Oblivion 2013,120000000,89107235,287916633,198809398,167916633,"Action,Adventure,Sci-Fi",Joseph Kosinski
179,2017-03-24,Power Rangers 2017,120000000,85364450,142531552,57167102,22531552,"Action,Adventure,Sci-Fi",Dean Israelite
180,2014-02-12,RoboCop 2014,120000000,58607007,242981799,184374792,122981799,"Action,Crime,Sci-Fi",José Padilha
181,2015-08-07,Fantastic Four 2015,120000000,56117548,167849187,111731639,47849187,"Action,Adventure,Drama",Josh Trank
182,2010-06-23,Knight and Day 2010,117000000,76423035,258751370,182328335,141751370,"Action,Adventure,Comedy",James Mangold
183,2018-10-05,Venom 2018,116000000,213511408,853628605,640117197,737628605,"Action,Sci-Fi,Thriller",Ruben Fleischer
184,2013-07-26,The Wolverine 2013,115000000,132556852,416456852,283900000,301456852,"Action,Adventure,Sci-Fi",James Mangold
185,2010-12-25,Gulliver's Travels 2010,112000000,42779261,232017848,189238587,120017848,"Adventure,Comedy,Family",Rob Letterman
186,2017-12-15,Ferdinand 2017,111000000,84410380,289847930,205437550,178847930,"Adventure,Animation,Comedy",Carlos Saldanha
187,2018-05-18,Deadpool 2 2018,110000000,324591735,786680557,462088822,676680557,"Action,Adventure,Comedy",David Leitch
188,2013-10-04,Gravity 2013,110000000,274092705,693698673,419605968,583698673,"Drama,Sci-Fi,Thriller",Alfonso Cuarón
189,2015-05-29,San Andreas 2015,110000000,155190832,456258539,301067707,346258539,"Action,Adventure,Drama",Brad Peyton
190,2011-07-29,The Smurfs 2011,110000000,142614158,563749323,421135165,453749323,"Adventure,Animation,Comedy",Raja Gosnell
191,2014-03-07,300: Rise of an Empire 2014,110000000,106580051,330780051,224200000,220780051,"Action,Fantasy,War",Noam Murro
192,2016-12-21,Passengers 2016,110000000,100014699,302239672,202224973,192239672,"Drama,Romance,Sci-Fi",Morten Tyldum
193,2011-01-14,The Green Hornet 2011,110000000,98780042,229155503,130375461,119155503,"Action,Comedy,Crime",Michel Gondry
194,2011-10-07,Real Steel 2011,110000000,85463309,263880341,178417032,153880341,"Action,Drama,Family",Shawn Levy
195,2010-06-11,The A-Team 2010,110000000,77222099,177241171,100019072,67241171,"Action,Adventure,Thriller",Joe Carnahan
196,2013-07-31,The Smurfs 2 2013,110000000,71017784,348547523,277529739,238547523,"Adventure,Animation,Comedy",Raja Gosnell
197,2013-11-01,Ender's Game 2013,110000000,61737191,127983283,66246092,17983283,"Action,Adventure,Fantasy",Gavin Hood
198,2017-03-31,Ghost in the Shell 2017,110000000,40563557,167910690,127347133,57910690,"Action,Drama,Sci-Fi",Rupert Sanders
199,2019-06-14,Men in Black: International 2019,110000000,3100000,3100000,0,-106900000,"Action,Adventure,Comedy",F. Gary Gray
200,2015-10-02,The Martian 2015,108000000,228433663,655271443,426837780,547271443,"Adventure,Drama,Sci-Fi",Ridley Scott
201,2016-11-23,Allied 2016,106000000,40098064,119266661,79168597,13266661,"Action,Drama,Romance",Robert Zemeckis
202,2016-07-22,Ice Age: Collision Course 2016,105000000,64063008,402156682,338093674,297156682,"Adventure,Animation,Comedy","Mike Thurmeier, Galen T. Chu"
203,2017-09-22,Kingsman: The Golden Circle 2017,104000000,100234838,408803696,308568858,304803696,"Action,Adventure,Comedy",Matthew Vaughn
204,2018-03-09,A Wrinkle in Time 2018,103000000,100478608,133401882,32923274,30401882,"Adventure,Family,Fantasy",Ava DuVernay
205,2018-12-21,Bumblebee 2018,102000000,127195589,465195589,338000000,363195589,"Action,Adventure,Sci-Fi",Travis Knight
206,2012-10-26,Cloud Atlas 2012,102000000,27108272,130673154,103564882,28673154,"Action,Drama,Mystery","Lilly Wachowski, Lana Wachowski, Tom Tykwer"
207,2012-12-25,Django Unchained 2012,100000000,162805434,449948323,287142889,349948323,"Drama,Western",Quentin Tarantino
208,2010-12-22,Little Fockers 2010,100000000,148438600,310650574,162211974,210650574,"Comedy,Romance",Paul Weitz
209,2010-08-06,The Other Guys 2010,100000000,119219978,170936470,51716492,70936470,"Action,Comedy,Crime",Adam McKay
210,2013-12-25,The Wolf of Wall Street 2013,100000000,116900694,389870414,272969720,289870414,"Biography,Crime,Drama",Martin Scorsese
211,2013-05-24,Epic 2013,100000000,107518682,262794441,155275759,162794441,"Adventure,Animation,Family",Chris Wedge
212,2012-08-17,The Expendables 2 2012,100000000,85028192,311979256,226951064,211979256,"Action,Adventure,Thriller",Simon West
213,2014-07-25,Hercules 2014,100000000,72688614,243388614,170700000,143388614,"Action,Adventure,Fantasy",Brett Ratner
